ProductID,ProductName,Category,SubCategory,ListPrice_USD,COGS_USD,GrossMarginPct,Supplier,IsActive
60,Modern T-Shirts Set 60,Apparel,T-Shirts,72.58,39.88,45.05,Gomez-Jenkins,True
61,Urban Kitchen Bundle 61,Home & Living,Kitchen,42.95,25.91,39.68,"Brown, Valdez and Lucas",True
62,Urban Decor Pack 62,Home & Living,Decor,53.53,24.62,54.01,Powell LLC,True
63,Essential Hats Bundle 63,Accessories,Hats,54.36,14.4,73.51,Wright and Sons,True
64,Heritage Sneakers Bundle 64,Footwear,Sneakers,63.87,34.97,45.25,"West, Henderson and Ramirez",True
65,Essential Athletic Set 65,Footwear,Athletic,99.18,46.83,52.78,Baxter Inc,True
66,Pro Watches Set 66,Accessories,Watches,46.18,13.64,70.46,Morton-Chase,True
67,Active Kitchen Bundle 67,Home & Living,Kitchen,17.81,9.99,43.88,Williams PLC,True
68,Natural Pants Pack 68,Apparel,Pants,86.23,34.03,60.54,Novak and Sons,True
69,Classic T-Shirts Kit 69,Apparel,T-Shirts,86.73,27.55,68.23,Russell Group,True
70,Classic Activewear Pack 70,Apparel,Activewear,53.77,21.48,60.05,Hancock Inc,True
71,Heritage Sandals Kit 71,Footwear,Sandals,125.25,47.23,62.29,Gray Group,True
72,Active Watches Pack 72,Accessories,Watches,56.81,26.14,53.98,House-Glover,True
73,Pro Jackets Collection 73,Apparel,Jackets,76.97,31.5,59.08,Henderson-Bernard,True
74,Modern Kitchen Series 74,Home & Living,Kitchen,36.11,19.62,45.67,"Stanley, Tucker and Lee",True
75,Natural Hoodies Collection 75,Apparel,Hoodies,72.39,38.56,46.73,Novak PLC,True
76,Heritage Boots Set 76,Footwear,Boots,114.12,57.36,49.74,"Daniels, Adkins and Brown",True
77,Signature Fitness Kit 77,Beauty & Wellness,Fitness,37.28,7.99,78.57,"Woods, Calhoun and Schmidt",True
78,Heritage Fitness Edition 78,Beauty & Wellness,Fitness,40.53,10.79,73.37,Yu Inc,True
79,Natural Pants Set 79,Apparel,Pants,20.23,9.29,54.08,Jones Inc,True
80,Natural Boots Bundle 80,Footwear,Boots,128.17,59.79,53.35,"Hensley, Powell and David",True
81,Premium Pants Collection 81,Apparel,Pants,28.45,12.1,57.47,"Sanchez, Wheeler and Harvey",True
82,Signature Jackets Kit 82,Apparel,Jackets,43.99,13.75,68.75,Sandoval-Cunningham,False
83,Premium Sneakers Collection 83,Footwear,Sneakers,79.68,32.88,58.73,Donovan-Harris,True
84,Pro T-Shirts Kit 84,Apparel,T-Shirts,76.08,22.34,70.64,"Edwards, Baker and Anderson",True
85,Pro Hoodies Pack 85,Apparel,Hoodies,54.46,28.27,48.09,"Evans, Stewart and Walton",True
86,Classic Kitchen Kit 86,Home & Living,Kitchen,60.84,23.65,61.13,Smith PLC,True
87,Heritage Skincare Set 87,Beauty & Wellness,Skincare,42.67,9.29,78.22,"Ferrell, Jones and Lewis",False
88,Pro Boots Series 88,Footwear,Boots,42.22,18.04,57.27,Anderson-Bailey,True
89,Premium Sneakers Collection 89,Footwear,Sneakers,110.64,50.73,54.15,Suarez LLC,True
90,Natural Bags Kit 90,Accessories,Bags,62.57,25.95,58.53,Moore-Bass,True
91,Essential Sandals Pack 91,Footwear,Sandals,95.38,37.47,60.72,"Turner, Riggs and Roman",True
92,Active Belts Pack 92,Accessories,Belts,73.13,19.75,72.99,"Smith, Montoya and Evans",True
93,Classic Decor Collection 93,Home & Living,Decor,39.85,22.36,43.89,"Garcia, Humphrey and Baker",False
94,Urban Pants Series 94,Apparel,Pants,61.88,22.87,63.04,Newton and Sons,True
95,Urban Athletic Collection 95,Footwear,Athletic,55.15,22.09,59.95,Campbell-Clark,False
96,Pro Decor Series 96,Home & Living,Decor,57.13,28.34,50.4,Harris-Walters,True
97,Active Boots Pack 97,Footwear,Boots,100.61,44.12,56.15,Wagner-King,True
98,Heritage Hoodies Collection 98,Apparel,Hoodies,49.14,23.8,51.57,Davis Group,True
99,Urban Scarves Set 99,Accessories,Scarves,109.68,39.75,63.76,Williams-Cook,True
100,Classic Boots Set 100,Footwear,Boots,46.46,25.64,44.81,Walsh LLC,True
101,Signature Kitchen Set 101,Home & Living,Kitchen,30.17,13.36,55.73,Figueroa PLC,True
102,Signature Decor Edition 102,Home & Living,Decor,88.56,37.21,57.98,"Patterson, Smith and Jones",True
103,Modern Boots Collection 103,Footwear,Boots,61.06,21.76,64.36,"Mckee, Gardner and Davenport",True
104,Signature Pants Pack 104,Apparel,Pants,25.9,14.16,45.33,"Tran, Jordan and Williams",True
105,Classic Sneakers Kit 105,Footwear,Sneakers,58.99,22.69,61.54,Nolan-Flynn,True
106,Signature Sneakers Series 106,Footwear,Sneakers,49.41,19.63,60.28,Nolan and Sons,False
107,Pro Pants Kit 107,Apparel,Pants,64.69,21.77,66.35,"Wright, Garcia and Deleon",True
108,Natural Athletic Collection 108,Footwear,Athletic,63.25,28.65,54.71,Dickson-Brady,True
109,Pro T-Shirts Collection 109,Apparel,T-Shirts,90.96,44.93,50.61,Hancock and Sons,True
110,Natural Hoodies Pack 110,Apparel,Hoodies,60.5,30.72,49.23,Johnson-Doyle,True
111,Active Sneakers Series 111,Footwear,Sneakers,56.99,24.12,57.67,Patton-Jenkins,True
112,Essential Haircare Collection 112,Beauty & Wellness,Haircare,34.53,10.84,68.61,"Shields, Cochran and Adams",True
113,Heritage Hoodies Collection 113,Apparel,Hoodies,79.03,30.77,61.07,"Rodriguez, Brennan and Garrison",True
114,Modern Sandals Bundle 114,Footwear,Sandals,101.47,36.97,63.57,Gonzalez Group,True
115,Heritage T-Shirts Collection 115,Apparel,T-Shirts,86.49,30.42,64.83,Torres-Pope,True
116,Signature Activewear Bundle 116,Apparel,Activewear,63.21,34.41,45.56,Walker Ltd,True
117,Signature Storage Edition 117,Home & Living,Storage,54.4,27.96,48.61,Ross LLC,False
118,Natural Athletic Collection 118,Footwear,Athletic,127.06,61.31,51.75,Rasmussen LLC,True
119,Signature Hoodies Set 119,Apparel,Hoodies,43.39,15.74,63.73,May-Ross,False
120,Urban Bedding Series 120,Home & Living,Bedding,49.66,27.04,45.55,"Rivera, Johnson and Wiley",False
